expression,reading,meaning,tags
追い込む,おいこむ,"to herd, to corner, to drive",n1
追い出す,おいだす,"to expel, to drive out",n1
於いて,おいて,"at, in, on",n1
老いる,おいる,"to age, to grow old",n1
応急,おうきゅう,emergency,n1
黄金,おうごん,gold,n1
往診,おうしん,"doctor's visit, house call",n1
応募,おうぼ,"subscription, application",n1
大方,おおかた,"almost all, majority",n1
大柄,おおがら,"large build, large pattern",n1
大筋,おおすじ,"outline, summary",n1
大空,おおぞら,"heaven, the sky",n1
大幅,おおはば,"full width, large scale, drastic",n1
大水,おおみず,flood,n1
公,おおやけ,public,n1
犯す,おかす,"to perpetrate, to violate",n1
侵す,おかす,"to invade, to raid, to trespass",n1
臆病,おくびょう,"cowardice, timidity",n1
遅らす,おくらす,"to retard, to delay",n1
厳か,おごそか,"majestic, dignified",n1
行い,おこない,"conduct, behavior, action",n1
収まる,おさまる,to settle into to be obtained,n1
納まる,おさまる,to settle into to be obtained,n1
治まる,おさまる,"to be at peace, to calm down",n1
お産,おさん,giving birth,n1
押し切る,おしきる,to have one's own way,n1
押し込む,おしこむ,"to push into, to crowd into",n1
惜しむ,おしむ,"to be frugal, to value, to regret",n1
押し寄せる,おしよせる,"to push aside, to advance on",n1
雄,おす,male animal,n1
御世辞,おせじ,"flattery, compliment",n1
襲う,おそう,to attack,n1
遅くとも,おそくとも,at the latest,n1
恐れ,おそれ,"fear, horror",n1
恐れ入る,おそれいる,"to be filled with awe, to feel small",n1
落ち込む,おちこむ,to get depressed,n1
落ち着き,おちつき,"calm, composure",n1
落葉,おちば,fallen leaves,n1
乙,おつ,2nd in rank,n1
お使い,おつかい,errand,n1
お手上げ,おてあげ,"given in, given up hope",n1
脅す,おどす,"to threaten, to menace",n1
訪れる,おとずれる,to visit,n1
お供,おとも,"attendant, companion",n1
衰える,おとろえる,"to become weak, to decline",n1
同い年,おないどし,of the same age,n1
自ずから,おのずから,"naturally, as a matter of course",n1
怯える,おびえる,to become frightened,n1
脅かす,おびやかす,"to threaten, to coerce",n1
帯びる,おびる,"to bear, to carry, to be entrusted",n1
お袋,おふくろ,mother,n1
覚え,おぼえ,"memory, sense, experience",n1
お宮,おみや,Shinto shrine,n1
思い付き,おもいつき,"plan, idea, suggestion",n1
趣,おもむき,"flavor, appearance, quaint",n1
赴く,おもむく,"to go, to proceed",n1
重んじる,おもんじる,"to respect, to honor, to esteem, to prize",n1
重んずる,おもんずる,"to honor, to respect, to value",n1
親父,おやじ,"one's father, old man, one's boss",n1
及び,および,"and, as well as",n1
及ぶ,およぶ,"to reach, to extend",n1
折,おり,"chance, occasion",n1
檻,おり,"cage, pen, jail cell",n1
折り返す,おりかえす,"to turn up, to fold back",n1
織物,おりもの,"textile, fabric",n1
俺,おれ,I ego boastful firstperson pronoun,n1
愚か,おろか,"foolish, stupid",n1
温和,おんわ,"gentle, mild, moderate",n1
我,が,ego,n1
～界,かい,"world, circle, kingdom",n1
～街,がい,town,n1
改悪,かいあく,"deterioration, changing for the worse",n1
海運,かいうん,marine transportation,n1
外貨,がいか,foreign money,n1
改革,かいかく,"reform, reformation, innovation",n1
貝殻,かいがら,shell,n1
外観,がいかん,"appearance, exterior, facade",n1
階級,かいきゅう,"class, rank, grade",n1
海峡,かいきょう,channel,n1
会見,かいけん,"interview, conference",n1
介護,かいご,nursing,n1
開催,かいさい,"holding a meeting, open an exhibition",n1
回収,かいしゅう,"collection, recovery",n1
改修,かいしゅう,"repair, improvement",n1
怪獣,かいじゅう,monster,n1
解除,かいじょ,"cancellation, release, cancel",n1
外相,がいしょう,Foreign Minister,n1
害する,がいする,"to harm, to offend",n1
概説,がいせつ,"general statement, outline",n1
回送,かいそう,forwarding,n1
階層,かいそう,"class, level, stratum, hierarchy",n1
開拓,かいたく,"cultivation, pioneer",n1
会談,かいだん,"conversation, interview",n1
改定,かいてい,reform,n1
改訂,かいてい,revision,n1
街道,かいどう,highway,n1
該当,がいとう,"corresponding, answering to, coming under",n1
街頭,がいとう,in the street,n1
介入,かいにゅう,intervention,n1
概念,がいねん,"general idea, concept, notion",n1
開発,かいはつ,"development, exploitation",n1
海抜,かいばつ,height above sea level,n1
介抱,かいほう,"nursing, looking after",n1
解剖,かいぼう,"dissection, autopsy",n1
外来,がいらい,"abbr imported, outpatient clinic",n1
回覧,かいらん,circulation,n1
概略,がいりゃく,"outline, summary, gist",n1
海流,かいりゅう,ocean current,n1
改良,かいりょう,"improvement, reform",n1
回路,かいろ,circuit electric,n1
海路,かいろ,sea route,n1
省みる,かえりみる,to reflect,n1
顧みる,かえりみる,"to look back, to turn around, to review",n1
顔付き,かおつき,facial expression,n1
課外,かがい,extracurricular,n1
掲げる,かかげる,"to hoist, to fly a sail, to float a flag",n1
書き取る,かきとる,"to write down, to take dictation",n1
掻き回す,かきまわす,"to stir up, to churn, to disturb",n1
～画,かく, strokes,n1
学芸,がくげい,"arts and sciences, liberal arts",n1
格差,かくさ,"difference, disparity",n1
拡散,かくさん,"scattering, diffusion",n1
学士,がくし,university graduate,n1
各種,かくしゅ,"every kind, all sorts",n1
隔週,かくしゅう,every other week,n1
確信,かくしん,"conviction, confidence",n1
革新,かくしん,"reform, innovation",n1
学説,がくせつ,theory,n1
確定,かくてい,"fixed, decision",n1
獲得,かくとく,"acquisition, possession",n1
楽譜,がくふ,"score music, sheet music",n1
確保,かくほ,"guarantee, insure, secure",n1
革命,かくめい,revolution,n1
確立,かくりつ,establishment,n1
賭,かけ,"betting, gambling, a gamble",n1
掛～,かけ,credit,n1
～掛け,かけ,"rack, hanger",n1
崖,がけ,cliff,n1
駆け足,かけあし,"running fast, double time",n1
家計,かけい,"household economy, family finances",n1
駆けっこ,かけっこ,foot race,n1
加工,かこう,"manufacturing, processing, treatment",n1
化合,かごう,chemical combination,n1
箇条書,かじょうがき,"itemized form, itemization",n1
頭,かしら,"head, chief",n1
微か,かすか,"faint, dim, weak",n1
霞む,かすむ,"to grow hazy, to be misty",n1
擦る,かする,"to rub, to chafe",n1
火星,かせい,Mars,n1
化石,かせき,"fossil, petrifaction, fossilization",n1
河川,かせん,rivers,n1
化繊,かせん,synthetic fibers,n1
過疎,かそ,depopulation,n1
片～,かた,single ,n1
片言,かたこと,"broken in reference to speaking style, eg, Japanese",n1
傾ける,かたむける,"to incline, to tilt, to bend",n1
固める,かためる,"to harden, to freeze, to fortify",n1
傍ら,かたわら,"besides, while, nearby",n1
花壇,かだん,flower bed,n1
家畜,かちく,"domestic animals, livestock, cattle",n1
且つ,かつ,"yet, and",n1
合唱,がっしょう,"chorus, singing in a chorus",n1
合致,がっち,"agreement, concurrence, conforming to",n1
勝手,かって,"kitchen one's way, selfishness",n1
活発,かっぱつ,"vigor, active",n1
合併,がっぺい,"combination, amalgamation, merger",n1
叶う,かなう,to come true,n1
叶える,かなえる,"to grant request, wish",n1
金槌,かなづち,iron hammer,n1
加入,かにゅう,"becoming a member, admission",n1
予て,かねて,"previously, already, lately",n1
庇う,かばう,"to protect someone, to&nbsp&nbspcover up for someone",n1
株式,かぶしき,stock,n1
花粉,かふん,pollen,n1
貨幣,かへい,"money, currency, coinage",n1
構える,かまえる,to set up,n1
過密,かみつ,crowded,n1
噛み切る,かみきる,"to bite off, to gnaw through",n1
粥,かゆ,rice porridge,n1
体付き,からだつき,"body build, figure",n1
絡む,からむ,"to entangle, to entwine",n1
過労,かろう,"overwork, strain",n1
交す,かわす,to exchange,n1
代る代る,かわるがわる,alternately,n1
簡易,かんい,"simplicity, easiness, quasi",n1
灌漑,かんがい,irrigation,n1
眼科,がんか,ophthalmology,n1
眼球,がんきゅう,eyeball,n1
玩具,がんぐ,toy,n1
簡潔,かんけつ,"brevity, concise, simple",n1
還元,かんげん,"resolution, reduction, return",n1
看護,かんご,nursing,n1
漢語,かんご,"Chinese word, SinoJapanese word",n1
頑固,がんこ,"stubbornness, obstinacy",n1
勧告,かんこく,"advice, counsel",n1
換算,かんさん,"conversion, change, exchange",n1
監視,かんし,"observation, guarding, surveillance",n1
慣習,かんしゅう,usual historical custom,n1
観衆,かんしゅう,"spectators, audience",n1
願書,がんしょ,application form,n1
干渉,かんしょう,"interference, intervention",n1
頑丈,がんじょう,"solid, firm, strong",n1
感触,かんしょく,"sense of touch, feeling, sensation",n1
肝心,かんじん,"essential, fundamental, crucial",n1
肝腎,かんじん,"essential, fundamental, crucial",n1
関税,かんぜい,"customs, duty, tariff",n1
岩石,がんせき,rock,n1
感染,かんせん,"infection, contagion",n1
幹線,かんせん,"main line, trunk line",n1
簡素,かんそ,"simplicity, plain",n1
観点,かんてん,point of view,n1
感度,かんど,"sensitivity, severity quake",n1
元年,がんねん,first year of a specific reign,n1
幹部,かんぶ,"management, executive",n1
完ぺき,かんぺき,"perfection, completeness, flawless",n1
勘弁,かんべん,"pardon, forgiveness, forbearance",n1
感無量,かんむりょう,"deep feeling, filled with emotion",n1
勧誘,かんゆう,"invitation, canvassing, inducement",n1
関与,かんよ,"participation, taking part in",n1
寛容,かんよう,"forbearance, tolerance, generosity, involvement",n1
元来,がんらい,"originally, naturally",n1
観覧,かんらん,viewing,n1
慣例,かんれい,"custom, precedent, of convention",n1
還暦,かんれき,60th birthday,n1
貫禄,かんろく,"presence, dignity",n1
緩和,かんわ,"relief, mitigation",n1
議案,ぎあん,legislative bill,n1
危害,きがい,"injury, harm, danger",n1
企画,きかく,"planning, project",n1
規格,きかく,"standard, norm",n1
着飾る,きかざる,to dress up,n1
気兼ね,きがね,"hesitance, diffidence, feeling constraint",n1
気軽,きがる,"cheerful, buoyant, lighthearted",n1
危機,きき,crisis,n1
聞き取り,ききとり,listening comprehension,n1
効き目,ききめ,"effect, virtue, efficacy",n1
帰京,ききょう,returning to Tokyo,n1
戯曲,ぎきょく,"play, drama",n1
基金,ききん,"fund, foundation",n1
喜劇,きげき,"comedy, funny show",n1
議決,ぎけつ,"resolution, decision, vote",n1
棄権,きけん,"abstain from voting, renunciation of a right",n1
既婚,きこん,married,n1
気障,きざ,"affectation, conceit, snobbery",n1
記載,きさい,"mention, entry",n1
兆,きざし,"sign, omen, indication",n1
気質,きしつ,"character, trait, temperament",n1
期日,きじつ,"fixed date, settlement date",n1
議事堂,ぎじどう,Diet building,n1
記述,きじゅつ,"describing, descriptor",n1
気象,きしょう,"weather, climate",n1
傷付く,きずつく,"to be hurt, to be wounded, to get injured",n1
傷付ける,きずつける,"to wound, to hurt someone's feelings",n1
犠牲,ぎせい,sacrifice,n1
汽船,きせん,steamship,n1
寄贈,きぞう,"donation, presentation",n1
偽造,ぎぞう,"forgery, fabrication, counterfeiting",n1
貴族,きぞく,"noble, aristocrat",n1
議題,ぎだい,"topic of discussion, agenda",n1
鍛える,きたえる,"to forge, to train, to discipline",n1
気立て,きだて,"goodnatured, kindhearted",n1
来る,きたる,"to come, to approach,",n1
几帳面,きちょうめん,"methodical, punctual, steady",n1
規定,きてい,"regulation, provisions",n1
起点,きてん,starting point,n1
軌道,きどう,orbit track,n1
技能,ぎのう,"technical skill, ability, capacity",n1
規範,きはん,"model, standard, example",n1
気品,きひん,"grace, elegance",n1
気風,きふう,"character, traits, ethos",n1
起伏,きふく,undulation,n1
規模,きぼ,"scale, scope, plan, structure",n1
気まぐれ,きまぐれ,"whim, caprice, uneven temper",n1
生真面目,きまじめ,"serious, sincerity",n1
期末,きまつ,end of the season or term,n1
記名,きめい,"signature, register",n1
規約,きやく,"agreement, rules, code",n1
脚色,きゃくしょく,"dramatization eg, film",n1
逆転,ぎゃくてん,"sudden change, reversal, turnaround",n1
脚本,きゃくほん,scenario,n1
華奢,きゃしゃ,"delicate, slender",n1
客観,きゃっかん,objective,n1
救援,きゅうえん,"relief, rescue, reinforcement",n1
休学,きゅうがく,"temporary absence from school, suspension",n1
究極,きゅうきょく,"ultimate, final, eventual",n1
窮屈,きゅうくつ,"narrow, tight, formal",n1
球根,きゅうこん,plant bulb,n1
救済,きゅうさい,"relief, aid, rescue",n1
給仕,きゅうじ,waiter,n1
給食,きゅうしょく,"school lunch, providing a meal",n1
休戦,きゅうせん,"truce, armistice",n1
宮殿,きゅうでん,palace,n1
旧知,きゅうち,"old friend, old friendship",n1
窮乏,きゅうぼう,poverty,n1
寄与,きよ,"contribution, service",n1
強,きょう,strong,n1
～狂,きょう,"maniac, fan, freak",n1
驚異,きょうい,"wonder, miracle",n1
教科,きょうか,"subject, curriculum",n1
協会,きょうかい,"association, society, organization",n1
共学,きょうがく,coeducation,n1
共感,きょうかん,"sympathy, response",n1
境遇,きょうぐう,"environment, circumstances",n1
教訓,きょうくん,"lesson, precept, moral instruction",n1
強行,きょうこう,"forcing, enforcement",n1
強硬,きょうこう,"firm, vigorous, stubborn",n1
教材,きょうざい,teaching materials,n1
凶作,きょうさく,"bad harvest, poor crop",n1
業者,ぎょうしゃ,"trader, merchant",n1
教習,きょうしゅう,"training, instruction",n1
郷愁,きょうしゅう,"nostalgia, homesickness",n1
教職,きょうしょく,teaching profession,n1
興じる,きょうじる,"to amuse oneself, to make merry",n1
強制,きょうせい,"obligation, compulsion, enforcement",n1
行政,ぎょうせい,administration,n1
業績,ぎょうせき,"achievement, work, contribution",n1
共存,きょうぞん,coexistence,n1
協定,きょうてい,"arrangement, pact, agreement",n1
郷土,きょうど,homeland,n1
脅迫,きょうはく,"threat, coercion",n1
業務,ぎょうむ,"business, duties, work",n1
共鳴,きょうめい,"resonance, sympathy",n1
郷里,きょうり,"birthplace, home town",n1
強烈,きょうれつ,"strong, intense, severe",n1
共和,きょうわ,"republicanism, cooperation",n1
局限,きょくげん,"limit, localize",n1
極端,きょくたん,"extreme, extremity",n1
居住,きょじゅう,residence,n1
拒絶,きょぜつ,"refusal, rejection",n1
漁船,ぎょせん,fishing boat,n1
漁村,ぎょそん,fishing village,n1
拒否,きょひ,"denial, rejection, refusal",n1
許容,きょよう,"permission, pardon",n1
清らか,きよらか,"clean, pure, chaste",n1
義理,ぎり,"debt of gratitude, obligation",n1
切替,きりかえ,"exchange, conversion, switchover",n1
気流,きりゅう,atmospheric current,n1
切れ目,きれめ,"break, pause, gap",n1
疑惑,ぎわく,"doubt, misgivings, suspicion",n1
極めて,きわめて,"exceedingly, extremely written expression",n1
近眼,きんがん,nearsightedness,n1
緊急,きんきゅう,"urgent, pressing, emergency",n1
近郊,きんこう,"suburbs, outskirts",n1
均衡,きんこう,"equilibrium, balance",n1
禁じる,きんじる,to prohibit,n1
勤勉,きんべん,"industry, diligence",n1
吟味,ぎんみ,"examination, careful investigation",n1
勤務,きんむ,"service, duty, work",n1
禁物,きんもつ,"taboo, forbidden thing",n1
勤労,きんろう,"labor, exertion, diligent service",n1
食い違う,くいちがう,"to cross each other, to differ",n1
空間,くうかん,"space, room, airspace",n1
空腹,くうふく,hunger,n1
区画,くかく,"division, section, area",n1
区間,くかん,section,n1
茎,くき,stalk,n1
区切り,くぎり,"an end, a stop, punctuation",n1
愚痴,ぐち,"idle complaint, grumble",n1
口吟む,くちずさむ,to humble,n1
嘴,くちばし,"beak, bill",n1
朽ちる,くちる,to rot,n1
覆す,くつがえす,"to overturn, to upset, to overthrow",n1
屈折,くっせつ,"bending, indentation, refraction",n1
首飾り,くびかざり,necklace,n1
首輪,くびわ,"necklace, choker",n1
組み込む,くみこむ,"to insert, to include, to cut in printing",n1
組み合わせる,くみあわせる,"to join together, to combine, to join up",n1
蔵,くら,"warehouse, cellar",n1
玄人,くろうと,"expert, professional",n1
黒字,くろじ,balance figure in the black,n1
軍艦,ぐんかん,"warship, battleship",n1
軍事,ぐんじ,military affairs,n1
君主,くんしゅ,"ruler, monarch",n1
群集,ぐんしゅう,"social group, crowd, mob",n1
群衆,ぐんしゅう,"social group, crowd, mob",n1
軍備,ぐんび,"armaments, military preparations",n1
軍服,ぐんぷく,military or naval uniform,n1
芸,げい,"art, accomplishment, performance",n1
経過,けいか,"passage, progress",n1
軽快,けいかい,"lively, casual, light",n1
警戒,けいかい,"warning, admonition, vigilance",n1
敬具,けいぐ,Sincerely used at the end of letter,n1
軽減,けいげん,"reduction, lessening",n1
掲載,けいさい,"appearance eg, article in paper",n1
傾斜,けいしゃ,"inclination, slope, dip",n1
形成,けいせい,formation,n1
形勢,けいせい,"condition, situation, prospects",n1
軽率,けいそつ,"thoughtless, careless, hasty",n1
刑罰,けいばつ,"judgment, penalty, punishment",n1
経費,けいひ,"expenses, cost, outlay",n1
警部,けいぶ,police inspector,n1
転換,てんかん,"convert, divert",n1
転居,てんきょ,"moving, changing residence",n1
転勤,てんきん,transfer to another office of a company,n1
点検,てんけん,"inspection, examination, checking",n1
電源,でんげん,"source of electricity, power eg, button on TV",n1
天国,てんごく,"paradise, heaven, Kingdom of Heaven",n1
天才,てんさい,a genius,n1
天災,てんさい,"natural calamity, disaster",n1
展示,てんじ,"exhibition, display",n1
伝説,でんせつ,"tradition, legend, folklore",n1
点線,てんせん,dotted line,n1
転じる,てんじる,"to turn, to shift",n1
転ずる,てんずる,"to turn, to shift",n1
天体,てんたい,heavenly body,n1
伝達,でんたつ,"transmission eg, news, communication, delivery",n1
天地,てんち,"heaven and earth, the universe",n1
転任,てんにん,change of post,n1
展望,てんぼう,"view, outlook, prospect",n1
伝来,でんらい,"ancestral, hereditary, imported",n1
転落,てんらく,"fall, degradation",n1
問い合わせる,といあわせる,"to inquire, to seek information",n1
当～,とう,"Our  eg, Hotel, plane, etc",n1
胴,どう,"trunk, body, frame",n1
同意,どうい,"agreement, consent same meaning",n1
動員,どういん,mobilization,n1
同感,どうかん,"agreement, same opinion, same feeling",n1
陶器,とうき,"pottery, ceramics",n1
討議,とうぎ,"debate, discussion",n1
動機,どうき,"motive, incentive",n1
等級,とうきゅう,"grade, class",n1
同級,どうきゅう,"the same grade, same class",n1
同居,どうきょ,living together,n1
登校,とうこう,attendance at school,n1
統合,とうごう,"integration, unification, synthesis",n1
動向,どうこう,"trend, tendency, movement, attitude",n1
投資,とうし,investment,n1
同情,どうじょう,"sympathy, compassion, sympathize",n1
道場,どうじょう,"arch dojo, hall used for martial arts training, mandala",n1
統制,とうせい,"regulation, control",n1
当選,とうせん,"being elected, winning the prize",n1
逃走,とうそう,"flight, desertion, escape",n1
統率,とうそつ,"command, generalship, leadership",n1
到達,とうたつ,"reaching, attaining, arrival",n1
統治,とうち,"rule, reign, governing",n1
仕切る,しきる,"to partition, to divide, to mark off",n1
資金,しきん,"funds, capital",n1
軸,じく,"axis, stem, shaft",n1
仕組,しくみ,"structure, mechanism",n1
死刑,しけい,death penalty,n1
湿気る,しける,"to be damp, to be moist",n1
施行,しこう,"enforcement, operation",n1
思考,しこう,thought,n1
志向,しこう,"intention, aim",n1
嗜好,しこう,"taste, liking, preference",n1
事項,じこう,"matters, items, facts",n1
時刻表,じこくひょう,"timetable, train schedule",n1
地獄,じごく,hell,n1
時差,じさ,time difference,n1
自在,じざい,"freely, at will",n1
視察,しさつ,"inspection, observation",n1
資産,しさん,"property, fortune, assets",n1
支持,しじ,support,n1
自主,じしゅ,"independence, autonomy",n1
自首,じしゅ,"surrender, give oneself up",n1
刺繍,ししゅう,embroidery,n1
市場,しじょう,the market as a concept,n1
辞職,じしょく,resignation,n1
雫,しずく,drop of water,n1
沈める,しずめる,"to sink, to submerge",n1
施設,しせつ,"establishment, facility",n1
事前,じぜん,"prior, beforehand, in advance",n1
子息,しそく,hon son,n1
持続,じぞく,"continuation, endurance",n1
自尊心,じそんしん,"selfrespect, conceit",n1
慕う,したう,to yearn to adore,n1
下心,したごころ,"secret intention, motive",n1
下地,したじ,"groundwork, foundation",n1
親しむ,したしむ,"to be intimate with, to befriend",n1
下調べ,したしらべ,preliminary investigation,n1
愛想,あいそう,sociability,n1
間柄,あいだがら,relationship,n1
合間,あいま,interval,n1
敢えて,あえて,"dare to do, venture to do, challenge to do",n1
仰ぐ,あおぐ,"to look up to, to respect to ask for",n1
垢,あか,"dirt, filth",n1
赤字,あかじ,"deficit, go in the red",n1
明かす,あかす,to reveal to stay up,n1
赤らむ,あからむ,"to become red, to blush",n1
上がり,あがり,"ascent income completion, stop",n1
諦め,あきらめ,"resignation, reconciliation, consolation",n1
顎,あご,chin,n1
憧れ,あこがれ,"yearning, longing, aspiration",n1
麻,あさ,hemp,n1
浅ましい,あさましい,"shameful, mean, despicable",n1
欺く,あざむく,to deceive,n1
鮮やか,あざやか,"vivid, clear",n1
嘲笑う,あざわらう,"to sneer at, to ridicule",n1
悪しからず,あしからず,"don't take me wrong, but, I'm sorry",n1
味わい,あじわい,"flavor, relish",n1
焦る,あせる,"to be in a hurry, to be impatient",n1
値,あたい,"value, price, worth",n1
値する,あたいする,"to be worth, to deserve",n1
悪化,あっか,"deterioration, worsen",n1
扱い,あつかい,"treatment, service",n1
呆気ない,あっけない,"not enough, too quick short, long, etc",n1
斡旋,あっせん,"kind offices, mediation",n1
圧倒,あっとう,"overwhelm, overpower",n1
圧迫,あっぱく,"pressure, coercion, oppression",n1
圧力,あつりょく,"stress, pressure",n1
当て,あて,expectations depend,n1
～宛,あて,"for…eg, In a letter",n1
当て字,あてじ,"phoneticequivalent character, substitute character",n1
跡継ぎ,あとつぎ,"heir, successor",n1
後回し,あとまわし,"putting off, postponing",n1
油絵,あぶらえ,oil painting,n1
甘える,あまえる,"to behave like a spoiled child, to fawn on",n1
雨具,あまぐ,rain gear,n1
甘口,あまくち,sweet flavor,n1
網,あみ,net,n1
操る,あやつる,"to manipulate, to operate, to pull strings",n1
危ぶむ,あやぶむ,"to fear, to have misgivings, to be doubtful",n1
過ち,あやまち,"fault, error, indiscretion",n1
誤る,あやまる,to make a mistake,n1
歩み,あゆみ,"step, progress, history",n1
歩む,あゆむ,to walk,n1
予め,あらかじめ,"in advance, previously",n1
荒らす,あらす,to damage to invade,n1
争い,あらそい,"dispute, quarrel, conflict",n1
改まる,あらたまる,to be renewed to be formal,n1
荒っぽい,あらっぽい,"rough, rude",n1
霰,あられ,"hail eg, falling ice balls",n1
有り様,ありさま,"state, condition",n1
合わす,あわす,"to join together, to face, to unite",n1
～合せ,あわせ,in all,n1
暗殺,あんさつ,assassination,n1
暗算,あんざん,mental arithmetic,n1
暗示,あんじ,"hint, suggestion",n1
案じる,あんじる,"to be anxious, to ponder",n1
安静,あんせい,rest,n1
案の定,あんのじょう,"sure enough, as usual",n1
いい加減,いいかげん,"random, irresponsible",n1
言い訳,いいわけ,"excuse, explanation",n1
家出,いえで,running away from home,n1
生かす,いかす,to keep something alive to make use of,n1
異議,いぎ,"objection, dissent, protest",n1
生き甲斐,いきがい,"something one lives for, very important",n1
行き違い,いきちがい,"misunderstanding, disagreement",n1
意気込む,いきごむ,to be enthusiastic about,n1
育成,いくせい,"rearing, training, cultivation",n1
幾多,いくた,"many, numerous",n1
"(花を〜) 生ける, 活ける",はなを いける,to arrange flowers,n1
異見,いけん,"different opinion, objection",n1
意向,いこう,"intention, idea, inclination",n1
移行,いこう,switching over to,n1
移住,いじゅう,"migration, immigration",n1
衣装,いしょう,"clothing, costume, outfit",n1
異性,いせい,the opposite sex,n1
遺跡,いせき,historic ruins,n1
依存,いぞん,"dependence, dependent, reliance",n1
委託,いたく,"consign goods for sale to a firm, entrust",n1
出世,しゅっせ,"promotion, successful career, eminence",n1
出題,しゅつだい,proposing a question,n1
出動,しゅつどう,"mobilization, action",n1
出費,しゅっぴ,"expenses, disbursements",n1
出品,しゅっぴん,"exhibit, display",n1
主導,しゅどう,main leadership,n1
主任,しゅにん,"person in charge, responsible official",n1
首脳,しゅのう,"head, leader",n1
守備,しゅび,defense,n1
手法,しゅほう,technique,n1
樹木,じゅもく,"trees and shrubs, arbor",n1
樹立,じゅりつ,"establish, create",n1
準急,じゅんきゅう,"local express train, slower than an express",n1
準じる,じゅんじる,"to follow, to conform, to apply to",n1
～署,しょ,department,n1
～症,しょう,disease,n1
～証,しょう,"proof, certificate",n1
～嬢,じょう,young woman,n1
上位,じょうい,"superior, higher order",n1
上演,じょうえん,art performance,n1
城下,じょうか,land near the castle,n1
消去,しょうきょ,"elimination, erasing",n1
上空,じょうくう,"sky, highaltitude sky, upper air",n1
衝撃,しょうげき,"shock, crash, impact, ballistic",n1
証言,しょうげん,"evidence, testimony",n1
証拠,しょうこ,"evidence, proof",n1
照合,しょうごう,"check, verification",n1
詳細,しょうさい,"detail, particulars",n1
上昇,じょうしょう,"rising, ascending, climbing",n1
昇進,しょうしん,promotion,n1
称する,しょうする,"to take the name of, to call oneself",n1
情勢,じょうせい,"state of things, condition, situation",n1
消息,しょうそく,"news, letter, circumstances",n1
承諾,しょうだく,"consent, agreement",n1
情緒,じょうちょ,"emotion, feeling",n1
象徴,しょうちょう,symbol,n1
小児科,しょうにか,pediatrics,n1
使用人,しようにん,"employee, servant",n1
情熱,じょうねつ,"passion, enthusiasm, zeal",n1
譲歩,じょうほ,"concession, conciliation, compromise",n1
条約,じょうやく,"treaty, pact",n1
勝利,しょうり,"victory, triumph, win",n1
上陸,じょうりく,"landing, disembarkation",n1
蒸溜,じょうりゅう,distillation,n1
奨励,しょうれい,"encouragement, promotion",n1
除外,じょがい,"exception, exclusion",n1
職員,しょくいん,"staff member, personnel",n1
植民地,しょくみんち,colony,n1
