expression,reading,meaning,tags
職務,しょくむ,professional duties,n1
諸君,しょくん,"Gentlemen!, Ladies!",n1
助言,じょげん,"advice, suggestion",n1
徐行,じょこう,going slowly,n1
所在,しょざい,whereabouts,n1
所持,しょじ,"possession, owning",n1
所属,しょぞく,"attached to, belong to",n1
処置,しょち,treatment,n1
所定,しょてい,"fixed, prescribed",n1
所得,しょとく,income,n1
処罰,しょばつ,punishment,n1
初版,しょはん,first edition,n1
書評,しょひょう,book review,n1
処分,しょぶん,"disposal, dealing, punishment",n1
庶民,しょみん,"masses, common people",n1
庶務,しょむ,general affairs,n1
所有,しょゆう,"one's possessions, ownership",n1
調べ,しらべ,"investigation, inspection",n1
自立,じりつ,"independence, selfreliance",n1
記す,しるす,"to note, to write down",n1
指令,しれい,"orders, instructions, directive",n1
～心,しん,mind of ,n1
陣,じん,"battle formation, camp, encampment",n1
進化,しんか,"evolution, progress",n1
人格,じんかく,"personality, character",n1
審議,しんぎ,deliberation,n1
新婚,しんこん,newlywed,n1
審査,しんさ,"judging, inspection, examination",n1
人材,じんざい,man of talent,n1
紳士,しんし,gentleman,n1
真実,しんじつ,"truth, reality",n1
信者,しんじゃ,"believer, devotee",n1
真珠,しんじゅ,pearl,n1
進出,しんしゅつ,advancement,n1
心情,しんじょう,mentality,n1
新人,しんじん,"new face, newcomer",n1
神聖,しんせい,"holiness, sacredness, dignity",n1
親善,しんぜん,friendship,n1
真相,しんそう,"truth, real situation",n1
迅速,じんそく,"quick, fast, prompt",n1
人体,じんたい,human body,n1
新築,しんちく,"new building, new construction",n1
心中,しんじゅう,double suicide,n1
進呈,しんてい,presentation,n1
進展,しんてん,"progress, development",n1
神殿,しんでん,"temple, sacred place",n1
進度,しんど,progress,n1
振動,しんどう,"oscillation, vibration",n1
新入生,しんにゅうせい,"new student, firstyear student, freshman",n1
信任,しんにん,"trust, confidence, credence",n1
神秘,しんぴ,mystery,n1
辛抱,しんぼう,"patience, endurance",n1
人民,じんみん,"people, public",n1
侵略,しんりゃく,"aggression, invasion, raid",n1
診療,しんりょう,medical examination and treatment,n1
粋,すい,essence,n1
水源,すいげん,source of river,n1
推進,すいしん,"propulsion, driving force",n1
吹奏,すいそう,playing wind instruments,n1
推測,すいそく,"guess, conjecture",n1
水田,すいでん,waterfilled paddy field,n1
推理,すいり,"reasoning, inference, mystery or detective genre",n1
数詞,すうし,numeral,n1
崇拝,すうはい,"worship, adoration",n1
据え付ける,すえつける,"to install, to equip, to mount",n1
据える,すえる,"to set, to lay, to place",n1
救い,すくい,"help, aid, relief",n1
健やか,すこやか,"vigorous, healthy, sound",n1
濯ぐ,すすぐ,"to rinse, to wash out",n1
進み,すすみ,progress,n1
裾,すそ,"trouser cuff, skirt hem, cut edge of a hairdo",n1
素早い,すばやい,"fast, quick",n1
澄ます,すます,"to clear, to make clear, to listen for",n1
清ます,すます,"to clear, to make clear, to listen for",n1
済ます,すます,to finish to settle to do without,n1
擦れる,すれる,"to rub, to chafe",n1
生育,せいいく,"growth, development, breeding",n1
成育,せいいく,"growth, raising",n1
成果,せいか,"results, fruits",n1
正解,せいかい,"correct, right answer, solution",n1
正義,せいぎ,"justice, right, righteousness",n1
生計,せいけい,"livelihood, living",n1
政権,せいけん,"political administration, political power",n1
星座,せいざ,constellation,n1
制裁,せいさい,"restraint, sanctions, punishment",n1
政策,せいさく,"political measures, policy",n1
生死,せいし,life and death,n1
静止,せいし,"stillness, repose, standing still",n1
誠実,せいじつ,"sincere, honest, faithful",n1
成熟,せいじゅく,"maturity, ripeness",n1
青春,せいしゅん,"youth, springtime of life, adolescent",n1
清純,せいじゅん,"purity, innocence",n1
聖書,せいしょ,Bible,n1
正常,せいじょう,"normalcy, normality, normal",n1
制する,せいする,"to control, to command",n1
整然,せいぜん,"orderly, regular, wellorganized",n1
盛装,せいそう,"be dressed up, wear rich clothes",n1
盛大,せいだい,"grand, prosperous, magnificent",n1
清濁,せいだく,"good and evil, purity and impurity",n1
制定,せいてい,"enactment, establishment, creation",n1
静的,せいてき,static,n1
製鉄,せいてつ,iron manufacture,n1
晴天,せいてん,fine weather,n1
正当,せいとう,"just, due, proper",n1
制服,せいふく,uniform,n1
征服,せいふく,"conquest, subjugation, overcoming",n1
製法,せいほう,"manufacturing method, recipe, formula",n1
精密,せいみつ,"precise, exact, detailed, minute",n1
税務署,ぜいむしょ,tax office,n1
制約,せいやく,"limitation, constraints",n1
勢力,せいりょく,"influence, power, might, strength",n1
整列,せいれつ,"stand in a row, form a line",n1
急かす,せかす,"to hurry, to urge on",n1
伜,せがれ,"son, my son",n1
責務,せきむ,"duty, obligation",n1
世辞,せじ,"flattery, compliment",n1
世帯,せたい,household,n1
是正,ぜせい,"correction, revision",n1
世代,せだい,generation,n1
切開,せっかい,"opening up, cutting through",n1
切実,せつじつ,"compelling, serious, severe, acute",n1
接触,せっしょく,"touch, contact",n1
接続詞,せつぞくし,conjunction,n1
設置,せっち,"establishment, institution",n1
折衷,せっちゅう,"compromise, cross, blending, eclecticism",n1
設定,せってい,"establishment, creation",n1
説得,せっとく,persuasion,n1
切ない,せつない,"painful, trying, sad",n1
絶版,ぜっぱん,out of print,n1
設立,せつりつ,"establishment, foundation, institution",n1
攻め,せめ,"attack, offense",n1
世論,せろん,public opinion,n1
先,せん,"priority, precedence, previous",n1
繊維,せんい,"fiber, fiber, textile",n1
全快,ぜんかい,complete recovery of health,n1
宣教,せんきょう,religious mission,n1
宣言,せんげん,"declaration, proclamation, announcement",n1
戦災,せんさい,war damage,n1
専修,せんしゅう,specialization,n1
戦術,せんじゅつ,tactics,n1
潜水,せんすい,diving,n1
全盛,ぜんせい,height of prosperity,n1
先代,せんだい,"family predecessor, previous age, previous generation",n1
先だって,せんだって,"recently, the other day",n1
先着,せんちゃく,first arrival,n1
前提,ぜんてい,"preamble, premise, prerequisite",n1
先天的,せんてんてき,"inherent, congenital, hereditary",n1
前途,ぜんと,"future prospects, outlook, the journey ahead",n1
戦闘,せんとう,"battle, fight, combat",n1
潜入,せんにゅう,"infiltration, sneaking in",n1
船舶,せんぱく,ship,n1
全滅,ぜんめつ,annihilation,n1
専用,せんよう,"exclusive use, personal use",n1
占領,せんりょう,"occupation, possession, have a room to oneself",n1
善良,ぜんりょう,"goodness, excellence, virtue",n1
戦力,せんりょく,war potential,n1
前例,ぜんれい,precedent,n1
相応,そうおう,"suitability, fitness",n1
総会,そうかい,general meeting,n1
創刊,そうかん,"launching eg, newspaper, first issue",n1
雑木,ぞうき,"various kinds of small trees, assorted trees",n1
早急,そうきゅう,urgent,n1
増強,ぞうきょう,"reinforce, increase",n1
送金,そうきん,"remittance, sending money",n1
走行,そうこう,"running a wheeled vehicle eg, car, traveling",n1
総合,そうごう,"synthesis, generalization",n1
捜索,そうさく,"search esp for someone or something missing, investigation",n1
蔵相,ぞうしょう,Minister of Finance,n1
装飾,そうしょく,ornament,n1
増進,ぞうしん,"promoting, increase, advance",n1
相対,そうたい,relative,n1
壮大,そうだい,"magnificent, grand, majestic",n1
騒動,そうどう,"strife, riot, rebellion",n1
遭難,そうなん,"disaster, shipwreck, accident",n1
相場,そうば,"market price, speculation, estimation",n1
装備,そうび,equipment,n1
創立,そうりつ,"establishment, founding",n1
添える,そえる,"to add to, to attach, to accompany",n1
即座に,そくざに,"immediately, right away",n1
促進,そくしん,"promotion, acceleration, encouragement",n1
即する,そくする,"to conform to, to agree with, to be adapted to,",n1
束縛,そくばく,"restraint, restriction, confinement",n1
側面,そくめん,"side, sidelight, lateral",n1
損う,そこなう,"to harm, to hurt",n1
素材,そざい,"raw materials, subject matter",n1
阻止,そし,"obstruction, check, hindrance",n1
訴訟,そしょう,"litigation, lawsuit",n1
育ち,そだち,"breeding, growth",n1
措置,そち,"measure, step",n1
素っ気無い,そっけない,"cold, short, curt, blunt",n1
外方,そっぽ,look or turn the other way,n1
備え付ける,そなえつける,"to provide, to equip, to install",n1
備わる,そなわる,to be furnished with,n1
具わる,そなわる,to be furnished with,n1
聳える,そびえる,"to rise, to tower, to soar",n1
素朴,そぼく,"simplicity, artlessness, naivety",n1
背く,そむく,"to run counter to, to go against",n1
染まる,そまる,to be dyed,n1
染める,そめる,"to dye, to color",n1
反る,そる,"to warp, to be warped, to curve",n1
揃い,そろい,"set, suit, uniform",n1
損失,そんしつ,loss,n1
存続,そんぞく,"duration, continuance",n1
対応,たいおう,dealing with,n1
大家,たいか,"rich family, distinguished family",n1
退化,たいか,"degeneration, retrogression",n1
大概,たいがい,"in general, mainly",n1
体格,たいかく,"physique, constitution",n1
大金,たいきん,large amount of money,n1
待遇,たいぐう,"treatment, reception",n1
対決,たいけつ,"confrontation, showdown",n1
体験,たいけん,personal experience,n1
対抗,たいこう,"opposition, antagonism",n1
退治,たいじ,extermination,n1
大衆,たいしゅう,general public,n1
対処,たいしょ,"deal with, cope",n1
退職,たいしょく,retirement from office,n1
題する,だいする,to title,n1
態勢,たいせい,"attitude, conditions, tendency",n1
対談,たいだん,"talk, dialogue",n1
大胆,だいたん,"bold, daring, audacious",n1
対等,たいとう,equivalent,n1
台無し,だいなし,"mess, spoiled, come to nothing",n1
滞納,たいのう,"nonpayment, default",n1
対比,たいひ,"contrast, comparison",n1
大部,たいぶ,"most eg, most part, greater, fairly, a good deal, much",n1
大便,だいべん,feces,n1
代弁,だいべん,speak for another,n1
待望,たいぼう,"longexpected, waiting",n1
台本,だいほん,"libretto, scenario",n1
怠慢,たいまん,"negligence, carelessness",n1
対面,たいめん,"interview, meeting",n1
代用,だいよう,substitution,n1
体力,たいりょく,physical strength,n1
対話,たいわ,"conversation, dialogue",n1
耐える,たえる,"to endure, to put up with",n1
堪える,たえる,"to endure, to put up with",n1
絶える,たえる,"to die out, to become extinct",n1
断える,たえる,"to cease, to become extinct",n1
打開,だかい,"solution, breakthrough",n1
焚火,たきび,open fire,n1
妥協,だきょう,"compromise, giving in",n1
巧み,たくみ,"skill, cleverness",n1
丈,たけ,"length, height",n1
打撃,だげき,"blow, damage batting baseball",n1
妥結,だけつ,agreement,n1
駄作,ださく,poor work,n1
足し算,たしざん,addition,n1
多数決,たすうけつ,majority rule,n1
助け,たすけ,assistance,n1
携わる,たずさわる,"to engage, to involve",n1
漂う,ただよう,"to drift about, to float, to hang in air",n1
立ち去る,たちさる,"to leave, to depart",n1
立ち寄る,たちよる,"to stop by, to drop in for a short visit",n1
抱っこ,だっこ,child's hug,n1
達者,たっしゃ,"skillful, in good health",n1
脱出,だっしゅつ,escape,n1
脱する,だっする,"to escape from, to get out",n1
達成,たっせい,achievement,n1
脱退,だったい,"secession, withdrawal",n1
立て替える,たてかえる,"to pay in advance, to pay for another",n1
建前,たてまえ,position stance one takes in public principle,n1
奉る,たてまつる,"to offer, to do respectfully",n1
他動詞,たどうし,transitive verb direct object,n1
辿り着く,たどりつく,"to reach, to make it somehow",n1
辿る,たどる,"to follow road, to pursue course, to follow up",n1
束ねる,たばねる,"to tie up in a bundle, to control",n1
他方,たほう,"another side, on the other hand",n1
多忙,たぼう,busy,n1
給う,たまう,"to receive, to grant",n1
魂,たましい,"soul, spirit",n1
溜まり,たまり,"collected things, gathering place, arrears",n1
賜る,たまわる,"to grant, to bestow",n1
保つ,たもつ,"to keep, to preserve, to sustain",n1
多様,たよう,"diversity, variety",n1
弛み,たるみ,"slack, slackening",n1
弛む,たるむ,"to slacken, to loosen, to relax",n1
垂れる,たれる,"to hang, to droop to drip",n1
単一,たんいつ,"single, simple, sole",n1
短歌,たんか,31syllable Japanese poem,n1
担架,たんか,"stretcher, litter",n1
短気,たんき,quick temper,n1
団結,だんけつ,"unity, union, solidarity",n1
探検,たんけん,"exploration, expedition",n1
断言,だんげん,"assertion, declaration, affirmation",n1
短縮,たんしゅく,"shortening, abbreviation, reduction",n1
断然,だんぜん,"firmly, absolutely, definitely",n1
炭素,たんそ,carbon C,n1
短大,たんだい,junior college,n1
単調,たんちょう,"monotony, monotone, dullness",n1
単独,たんどく,"sole, single",n1
旦那,だんな,"master of house, husband informal",n1
短波,たんぱ,short wave,n1
蛋白質,たんぱくしつ,protein,n1
断面,だんめん,cross section,n1
弾力,だんりょく,"elasticity, flexibility",n1
治安,ちあん,"public order, security",n1
違える,ちがえる,to change,n1
畜産,ちくさん,animal husbandry,n1
畜生,ちくしょう,"beast, brute, damn",n1
蓄積,ちくせき,"accumulation, accumulate, store",n1
地形,ちけい,"landform, geographical features, topography",n1
知性,ちせい,intelligence,n1
乳,ちち,"milk, breast, loop",n1
縮まる,ちぢまる,"to be shortened, to be contracted, to shrink",n1
秩序,ちつじょ,"order, regularity",n1
窒息,ちっそく,suffocation,n1
知的,ちてき,intellectual,n1
着手,ちゃくしゅ,"embarkation, launch",n1
着色,ちゃくしょく,"coloring, coloring",n1
着席,ちゃくせき,"sit down, seat",n1
着目,ちゃくもく,attention,n1
着陸,ちゃくりく,"landing, touch down",n1
着工,ちゃっこう,start of construction work,n1
茶の間,ちゃのま,living room Japanese style,n1
茶の湯,ちゃのゆ,tea ceremony,n1
宙返り,ちゅうがえり,"somersault, loopingtheloop",n1
中継,ちゅうけい,"relay, hookup",n1
忠告,ちゅうこく,"advice, warning",n1
中傷,ちゅうしょう,"slander, libel, defamation",n1
中枢,ちゅうすう,"center, mainstay, nucleus",n1
抽選,ちゅうせん,"lottery, raffle, drawing of lots",n1
中断,ちゅうだん,"interruption, suspension, break",n1
中毒,ちゅうどく,poisoning,n1
中腹,ちゅうふく,"mountain side, halfway up",n1
中立,ちゅうりつ,neutrality,n1
中和,ちゅうわ,"neutralize, counteract",n1
～著,ちょ,written by ,n1
腸,ちょう,"bowels, intestines",n1
蝶,ちょう,butterfly,n1
超,ちょう,"super, ultra, hyper",n1
調印,ちょういん,"signature, sign, sealing",n1
聴覚,ちょうかく,the sense of hearing,n1
長官,ちょうかん,"chief, government secretary",n1
聴講,ちょうこう,"lecture attendance, auditing",n1
徴収,ちょうしゅう,"collection, levy",n1
聴診器,ちょうしんき,stethoscope,n1
調停,ちょうてい,"arbitration, conciliation, mediation",n1
重複,ちょうふく,"duplication, repetition, overlapping, redundancy, restoration",n1
長編,ちょうへん,"long eg, novel, film",n1
重宝,ちょうほう,"convenient, useful",n1
調理,ちょうり,cooking,n1
調和,ちょうわ,harmony,n1
直面,ちょくめん,confrontation,n1
著書,ちょしょ,"literary work, book",n1
貯蓄,ちょちく,savings,n1
直感,ちょっかん,"intuition, instinct",n1
著名,ちょめい,"wellknown, noted, celebrated",n1
塵,ちり,"dust, dirt",n1
塵取り,ちりとり,dustpan,n1
賃金,ちんぎん,wages,n1
沈殿,ちんでん,"precipitation, deposition, settlement",n1
沈没,ちんぼつ,"sinking, foundering",n1
沈黙,ちんもく,"silence, reticence",n1
陳列,ちんれつ,"exhibition, display, show",n1
追及,ついきゅう,"investigation, inquiry",n1
追跡,ついせき,pursuit,n1
追放,ついほう,"exile, banishment",n1
費やす,ついやす,"to spend, to devote, to waste",n1
墜落,ついらく,"falling, crashing",n1
痛感,つうかん,"feeling keenly, fully realizing",n1
通常,つうじょう,"common, normal, usual",n1
痛切,つうせつ,"keen, deep",n1
杖,つえ,cane,n1
使い道,つかいみち,use,n1
仕える,つかえる,"to serve, to work for",n1
司る,つかさどる,"to rule, to govern, to administer",n1
つかの間,つかのま,"moment, brief time,",n1
月並,つきなみ,"conventional, trite, common",n1
継目,つぎめ,"joint, seam",n1
尽きる,つきる,"to be used up, to be run out",n1
尽くす,つくす,"to exhaust, to run out to devote, to serve",n1
作り,つくり,"make up, structure, physique",n1
造り,つくり,"make up, structure, physique",n1
繕う,つくろう,"to mend, to repair",n1
付け加える,つけくわえる,to add one thing to another,n1
告げる,つげる,to inform,n1
筒,つつ,"pipe, tube",n1
突く,つつく,"to thrust, to strike, to attack to poke, to nudge, to pick at",n1
突っ突く,つっつく,to prompt someone,n1
謹む,つつしむ,"to be careful, to be chaste or discreet",n1
突っ張る,つっぱる,"to support, to become stiff to thrust ones opponent, to stick to ones opinion, to insist on",n1
務まる,つとまる,"be equal, be fit",n1
勤め先,つとめさき,place of work,n1
努めて,つとめて,"make an effort!, work hard!",n1
津波,つなみ,"tsunami, tidal wave",n1
角,つの,horn,n1
募る,つのる,"to invite, to solicit help, participation, etc",n1
唾,つば,"saliva, spit, sputum",n1
呟く,つぶやく,"to mutter, to murmur",n1
壷,つぼ,"jar, pot, vase",n1
蕾,つぼみ,"bud, flower bud",n1
連なる,つらなる,"to extend, to stretch out, to stand in a row",n1
貫く,つらぬく,to go through,n1
連ねる,つらねる,"to link, to join, to put together",n1
釣り鐘,つりがね,temple bell for striking,n1
吊り革,つりかわ,strap,n1
手当,てあて,"allowance, compensation treatment",n1
定義,ていぎ,definition,n1
提供,ていきょう,"offer, program sponsoring",n1
提携,ていけい,"cooperation, tieup, joint business",n1
体裁,ていさい,"decency, style, form, appearance",n1
提示,ていじ,"presentation, exhibit, suggest, citation",n1
定食,ていしょく,"fixedprice lunch, set meal, dinner",n1
訂正,ていせい,"correction, revision",n1
停滞,ていたい,"stagnation, tieup, congestion, retention",n1
邸宅,ていたく,"mansion, residence",n1
定年,ていねん,retirement age,n1
堤防,ていぼう,"bank, weir",n1
手遅れ,ておくれ,being too belated treatment,n1
手掛かり,てがかり,"hint, clue, key",n1
手掛ける,てがける,"to handle, to manage, to work with",n1
手数,てかず,"trouble, labor, handling",n1
手軽,てがる,"easy, simple, cheap",n1
適応,てきおう,"adaptation, accommodation, conformity",n1
適宜,てきぎ,suitability,n1
適性,てきせい,aptitude,n1
手際,てぎわ,"performance, skill, tact",n1
出くわす,でくわす,"to happen to meet, to come across",n1
手順,てじゅん,"process, procedure, protocol",n1
手錠,てじょう,"handcuffs, manacles",n1
手近,てぢか,"near, handy, familiar",n1
鉄鋼,てっこう,iron and steel,n1
徹する,てっする,"to devote oneself, to believe in",n1
鉄棒,てつぼう,"iron rod, crowbar, horizontal bar gymnastics",n1
出直し,でなおし,"adjustment, touch up",n1
掌,てのひら,the palm,n1
手配,てはい,"arrangement, search by police",n1
手筈,てはず,"arrangement, plan, program",n1
手引,てびき,"guidance, guide, introduction",n1
手本,てほん,"model, pattern",n1
手回し,てまわし,"preparations, arrangements",n1
手元,てもと,"money on hand or at home, one's purse usual skill",n1
照り返す,てりかえす,"to reflect, to throw back light",n1
手分け,てわけ,division of labor,n1
天,てん,"heaven, sky",n1
田園,でんえん,"country, rural districts",n1
天下,てんか,"the world, whole country",n1
転回,てんかい,"revolution, rotation",n1
連休,れんきゅう,consecutive holidays,n1
連日,れんじつ,every day,n1
連帯,れんたい,solidarity,n1
連中,れんちゅう,"colleagues, company, a lot",n1
連邦,れんぽう,"commonwealth, federation of states",n1
連盟,れんめい,"league, union, alliance",n1
老衰,ろうすい,"senility, senile decay",n1
朗読,ろうどく,"reading aloud, recitation",n1
浪費,ろうひ,"waste, extravagance",n1
労力,ろうりょく,"labor, effort, trouble",n1
露骨,ろこつ,"blunt, outspoken conspicuous broad, suggestive",n1
論議,ろんぎ,discussion,n1
論理,ろんり,logic,n1
惑星,わくせい,planet,n1
技,わざ,"art, technique",n1
煩わしい,わずらわしい,"burdensome, troublesome, complicated",n1
渡り鳥,わたりどり,"migratory bird, bird of passage",n1
詫び,わび,apology,n1
和文,わぶん,"Japanese text, sentence in Japanese",n1
藁,わら,straw,n1
～割,わり, percent,n1
割当,わりあて,"allotment, allocation, quota",n1
割込む,わりこむ,"to cut in, to disturb",n1
悪者,わるもの,"bad fellow, rascal",n1
捗る,はかどる,"to make progress, to move right ahead with the work, to advance",n1
破棄,はき,"revocation, annulment, breaking eg, treaty",n1
剥ぐ,はぐ,"to tear off, to peel off, to rip off",n1
迫害,はくがい,persecution,n1
薄弱,はくじゃく,"feebleness, weakness, weak",n1
白状,はくじょう,confession,n1
漠然,ばくぜん,"obscure, vague, equivocal",n1
爆弾,ばくだん,bomb,n1
爆破,ばくは,"blast, explosion, blow up",n1
暴露,ばくろ,"disclosure, exposure, revelation",n1
励ます,はげます,"to encourage, to cheer, to raise the voice",n1
励む,はげむ,"to be zealous, to make an effort",n1
剥げる,はげる,"to come off, to be worn off, to fade, to discolor",n1
化ける,ばける,"to disguise, to take the form of",n1
派遣,はけん,"dispatch, send",n1
恥,はじ,"shame, embarrassment",n1
弾く,はじく,"to play piano, guitar",n1
恥じらう,はじらう,"to feel shy, to be bashful, to blush",n1
恥じる,はじる,to feel ashamed,n1
橋渡し,はしわたし,"bridge building', mediation",n1
弾む,はずむ,"to bounce, to be encouraged, to splurge on",n1
破損,はそん,damage,n1
叩く,はたく,"to strike, to clap, to dust, to beat",n1
裸足,はだし,barefoot,n1
果たす,はたす,"to accomplish, to fulfill, to carry out, to achieve",n1
蜂蜜,はちみつ,honey,n1
罰,ばつ,"punishment, penalty",n1
発育,はついく,"physical growth, development",n1
発芽,はつが,germination,n1
発掘,はっくつ,"excavation, exhumation discovery eg, new talent",n1
発言,はつげん,"utterance, speech, proposal",n1
発生,はっせい,"outbreak, spring forth, occurrence",n1
仕立てる,したてる,"to tailor, to make, to prepare",n1
下取り,したどり,"trade in, part exchange",n1
下火,したび,"burning low, waning, declining",n1
実,じつ,"fruit, good result",n1
実家,じっか,one's parents' home,n1
失格,しっかく,"disqualification, elimination, incapacity legal",n1
質疑,しつぎ,question,n1
失脚,しっきゃく,"losing one's standing, being overthrown, falling",n1
実業家,じつぎょうか,"industrialist, businessman",n1
躾,しつけ,"discipline, training",n1
躾ける,しつける,"to discipline, to teach manners",n1
実践,じっせん,"practice, put into practice",n1
質素,しっそ,"simplicity, modesty, frugality",n1
実態,じったい,"truth, fact",n1
失調,しっちょう,"lack of harmony, imbalance",n1
嫉妬,しっと,jealousy,n1
実費,じっぴ,"actual expense, cost price",n1
指摘,してき,"pointing out, identification",n1
自転,じてん,"rotation, spin",n1
助動詞,じょどうし,auxiliary verb,n1
淑やか,しとやか,graceful,n1
萎びる,しなびる,"to shrivel, to fade",n1
屎尿,しにょう,human waste,n1
地主,じぬし,landlord,n1
凌ぐ,しのぐ,"to outdo, to surpass to endure",n1
芝,しば,lawn,n1
始発,しはつ,first train,n1
耳鼻科,じびか,otolaryngology,n1
私物,しぶつ,"private property, personal effects",n1
司法,しほう,administration of justice,n1
始末,しまつ,disposal cleaning up afterwards,n1
染みる,しみる,to soak pierce,n1
使命,しめい,"mission, errand, message",n1
地元,じもと,local,n1
視野,しや,"field of vision, outlook",n1
弱,じゃく,"delicate, supple",n1
社交,しゃこう,social life,n1
謝絶,しゃぜつ,refusal,n1
社宅,しゃたく,company owned house,n1
若干,じゃっかん,"some, few, number of",n1
三味線,しゃみせん,threestringed Japanese guitar,n1
斜面,しゃめん,"slope, slanting surface, bevel",n1
砂利,じゃり,"gravel, ballast, pebbles",n1
洒落る,しゃれる,"to joke, to play on words stylish",n1
種,しゅ,seed variety,n1
私有,しゆう,private ownership,n1
～宗,しゅう,sect,n1
収益,しゅうえき,"earnings, proceeds, returns",n1
修学,しゅうがく,learning,n1
周期,しゅうき,"cycle, period",n1
衆議院,しゅうぎいん,"Lower House, House of Representatives",n1
就業,しゅうぎょう,"employment, starting work",n1
従業員,じゅうぎょういん,"employee, worker",n1
集計,しゅうけい,"totalization, aggregate",n1
襲撃,しゅうげき,"attack, charge, raid",n1
収支,しゅうし,income and expenditure,n1
終始,しゅうし,from beginning to end consistently,n1
修士,しゅうし,Masters degree program,n1
従事,じゅうじ,"engaging, pursuing, following",n1
終日,しゅうじつ,all day,n1
充実,じゅうじつ,"fullness, perfection",n1
収集,しゅうしゅう,"gathering up, collection",n1
十字路,じゅうじろ,crossroads,n1
執着,しゅうじゃく,"attachment, adhesion, tenacity",n1
柔軟,じゅうなん,flexible,n1
収容,しゅうよう,accommodation seating custody,n1
従来,じゅうらい,"up to now, so far, traditional",n1
守衛,しゅえい,"security guard, doorkeeper",n1
主演,しゅえん,"starring, playing the leading part",n1
主観,しゅかん,"subjectivity, subject, ego",n1
修行,しゅぎょう,"pursuit of knowledge, training, ascetic practice",n1
塾,じゅく,afterschool cram school,n1
祝賀,しゅくが,"celebration, congratulations",n1
宿命,しゅくめい,"fate, destiny, predestination",n1
手芸,しゅげい,handicrafts,n1
主権,しゅけん,sovereignty,n1
主催,しゅさい,"organization, sponsorship, to host",n1
取材,しゅざい,"coverage, collecting data",n1
趣旨,しゅし,"object, meaning",n1
種々,しゅじゅ,variety,n1
主食,しゅしょく,staple food,n1
主人公,しゅじんこう,protagonist,n1
主体,しゅたい,"subject, main constituent",n1
主題,しゅだい,"subject, theme, motif",n1
出演,しゅつえん,"leading performer, stage appearance",n1
出血,しゅっけつ,bleeding,n1
出現,しゅつげん,"appearance, arrival",n1
出産,しゅっさん,childbirth,n1
出社,しゅっしゃ,come to work,n1
出生,しゅっしょう,birth,n1
微量,びりょう,"minuscule amount, extremely small quantity",n1
